productname                                        ListPrice             ProductSubCategory                                 ProductCategory                                    PriceRank            CategoryPriceRank    Top5PriceInCategory
Road-650 Red, 52                                   782.99                Road Bikes                                         Bikes                                              6                    58                   NO
Road-650 Black, 58                                 782.99                Road Bikes                                         Bikes                                              7                    58                   NO
Road-650 Black, 60                                 782.99                Road Bikes                                         Bikes                                              8                    58                   NO
Road-650 Black, 62                                 782.99                Road Bikes                                         Bikes                                              9                    58                   NO
Road-650 Black, 44                                 782.99                Road Bikes                                         Bikes                                              10                   58                   NO
Road-650 Black, 48                                 782.99                Road Bikes                                         Bikes                                              11                   58                   NO
Road-650 Black, 52                                 782.99                Road Bikes                                         Bikes                                              12                   58                   NO
Mountain-400-W Silver, 38                          769.49                Mountain Bikes                                     Bikes                                              1                    70                   NO
Mountain-400-W Silver, 40                          769.49                Mountain Bikes                                     Bikes                                              2                    70                   NO
Mountain-400-W Silver, 42                          769.49                Mountain Bikes                                     Bikes                                              3                    70                   NO
Mountain-400-W Silver, 46                          769.49                Mountain Bikes                                     Bikes                                              4                    70                   NO
Touring-3000 Blue, 44                              742.35                Touring Bikes                                      Bikes                                              1                    74                   NO
Touring-3000 Blue, 50                              742.35                Touring Bikes                                      Bikes                                              2                    74                   NO
Touring-3000 Blue, 54                              742.35                Touring Bikes                                      Bikes                                              3                    74                   NO
Touring-3000 Blue, 58                              742.35                Touring Bikes                                      Bikes                                              4                    74                   NO
Touring-3000 Blue, 62                              742.35                Touring Bikes                                      Bikes                                              5                    74                   NO
Touring-3000 Yellow, 44                            742.35                Touring Bikes                                      Bikes                                              6                    74                   NO
Touring-3000 Yellow, 50                            742.35                Touring Bikes                                      Bikes                                              7                    74                   NO
Touring-3000 Yellow, 54                            742.35                Touring Bikes                                      Bikes                                              8                    74                   NO
Touring-3000 Yellow, 58                            742.35                Touring Bikes                                      Bikes                                              9                    74                   NO
Touring-3000 Yellow, 62                            742.35                Touring Bikes                                      Bikes                                              10                   74                   NO
Mountain-500 Silver, 40                            564.99                Mountain Bikes                                     Bikes                                              1                    84                   NO
Mountain-500 Silver, 42                            564.99                Mountain Bikes                                     Bikes                                              2                    84                   NO
Mountain-500 Silver, 44                            564.99                Mountain Bikes                                     Bikes                                              3                    84                   NO
Mountain-500 Silver, 48                            564.99                Mountain Bikes                                     Bikes                                              4                    84                   NO
Mountain-500 Silver, 52                            564.99                Mountain Bikes                                     Bikes                                              5                    84                   NO
Road-750 Black, 44                                 539.99                Road Bikes                                         Bikes                                              1                    89                   NO
Road-750 Black, 48                                 539.99                Road Bikes                                         Bikes                                              2                    89                   NO
Road-750 Black, 52                                 539.99                Road Bikes                                         Bikes                                              3                    89                   NO
Mountain-500 Black, 40                             539.99                Mountain Bikes                                     Bikes                                              4                    89                   NO
Mountain-500 Black, 42                             539.99                Mountain Bikes                                     Bikes                                              5                    89                   NO
Mountain-500 Black, 44                             539.99                Mountain Bikes                                     Bikes                                              6                    89                   NO
Mountain-500 Black, 48                             539.99                Mountain Bikes                                     Bikes                                              7                    89                   NO
Mountain-500 Black, 52                             539.99                Mountain Bikes                                     Bikes                                              8                    89                   NO
Road-750 Black, 58                                 539.99                Road Bikes                                         Bikes                                              9                    89                   NO
Men's Bib-Shorts, S                                89.99                 Bib-Shorts                                         Clothing                                           1                    1                    YES
Men's Bib-Shorts, M                                89.99                 Bib-Shorts                                         Clothing                                           2                    1                    YES
Men's Bib-Shorts, L                                89.99                 Bib-Shorts                                         Clothing                                           3                    1                    YES
Women's Tights, S                                  74.99                 Tights                                             Clothing                                           1                    4                    YES
Women's Tights, M                                  74.99                 Tights                                             Clothing                                           2                    4                    YES
Women's Tights, L                                  74.99                 Tights                                             Clothing                                           3                    4                    YES
Women's Mountain Shorts, S                         69.99                 Shorts                                             Clothing                                           1                    7                    NO
Women's Mountain Shorts, M                         69.99                 Shorts                                             Clothing                                           2                    7                    NO
Women's Mountain Shorts, L                         69.99                 Shorts                                             Clothing                                           3                    7                    NO
Classic Vest, S                                    63.50                 Vests                                              Clothing                                           1                    10                   NO
Classic Vest, M                                    63.50                 Vests                                              Clothing                                           2                    10                   NO
Classic Vest, L                                    63.50                 Vests                                              Clothing                                           3                    10                   NO
Men's Sports Shorts, M                             59.99                 Shorts                                             Clothing                                           1                    13                   NO
Men's Sports Shorts, L                             59.99                 Shorts                                             Clothing                                           2                    13                   NO
Men's Sports Shorts, XL                            59.99                 Shorts                                             Clothing                                           3                    13                   NO
Men's Sports Shorts, S                             59.99                 Shorts                                             Clothing                                           4                    13                   NO
Short-Sleeve Classic Jersey, S                     53.99                 Jerseys                                            Clothing                                           2                    17                   NO
Short-Sleeve Classic Jersey, M                     53.99                 Jerseys                                            Clothing                                           3                    17                   NO
Short-Sleeve Classic Jersey, L                     53.99                 Jerseys                                            Clothing                                           4                    17                   NO
Short-Sleeve Classic Jersey, XL                    53.99                 Jerseys                                            Clothing                                           5                    17                   NO
Long-Sleeve Logo Jersey, S                         49.99                 Jerseys                                            Clothing                                           1                    21                   NO
Long-Sleeve Logo Jersey, M                         49.99                 Jerseys                                            Clothing                                           2                    21                   NO
Long-Sleeve Logo Jersey, L                         49.99                 Jerseys                                            Clothing                                           3                    21                   NO
Long-Sleeve Logo Jersey, XL                        49.99                 Jerseys                                            Clothing                                           4                    21                   NO
Full-Finger Gloves, S                              37.99                 Gloves                                             Clothing                                           1                    25                   NO
Full-Finger Gloves, M                              37.99                 Gloves                                             Clothing                                           2                    25                   NO
Full-Finger Gloves, L                              37.99                 Gloves                                             Clothing                                           3                    25                   NO
Half-Finger Gloves, S                              24.49                 Gloves                                             Clothing                                           1                    28                   NO
Half-Finger Gloves, M                              24.49                 Gloves                                             Clothing                                           2                    28                   NO
Half-Finger Gloves, L                              24.49                 Gloves                                             Clothing                                           3                    28                   NO
Mountain Bike Socks, M                             9.50                  Socks                                              Clothing                                           1                    31                   NO
Mountain Bike Socks, L                             9.50                  Socks                                              Clothing                                           2                    31                   NO
Racing Socks, M                                    8.99                  Socks                                              Clothing                                           1                    33                   NO
Racing Socks, L                                    8.99                  Socks                                              Clothing                                           2                    33                   NO
AWC Logo Cap                                       8.99                  Caps                                               Clothing                                           3                    33                   NO
HL Road Frame - Black, 58                          1431.50               Road Frames                                        Components                                         1                    1                    YES
HL Road Frame - Red, 58                            1431.50               Road Frames                                        Components                                         2                    1                    YES
HL Road Frame - Red, 62                            1431.50               Road Frames                                        Components                                         3                    1                    YES
HL Road Frame - Red, 44                            1431.50               Road Frames                                        Components                                         4                    1                    YES
HL Road Frame - Red, 48                            1431.50               Road Frames                                        Components                                         5                    1                    YES
HL Road Frame - Red, 52                            1431.50               Road Frames                                        Components                                         6                    1                    YES
HL Road Frame - Red, 56                            1431.50               Road Frames                                        Components                                         7                    1                    YES
HL Road Frame - Black, 62                          1431.50               Road Frames                                        Components                                         8                    1                    YES
HL Road Frame - Black, 44                          1431.50               Road Frames                                        Components                                         9                    1                    YES
HL Road Frame - Black, 48                          1431.50               Road Frames                                        Components                                         10                   1                    YES
HL Road Frame - Black, 52                          1431.50               Road Frames                                        Components                                         11                   1                    YES
HL Mountain Frame - Silver, 38                     1364.50               Mountain Frames                                    Components                                         1                    12                   NO
HL Mountain Frame - Silver, 42                     1364.50               Mountain Frames                                    Components                                         2                    12                   NO
HL Mountain Frame - Silver, 44                     1364.50               Mountain Frames                                    Components                                         3                    12                   NO
HL Mountain Frame - Silver, 48                     1364.50               Mountain Frames                                    Components                                         4                    12                   NO
HL Mountain Frame - Silver, 46                     1364.50               Mountain Frames                                    Components                                         5                    12                   NO
HL Mountain Frame - Black, 42                      1349.60               Mountain Frames                                    Components                                         1                    17                   NO
HL Mountain Frame - Black, 44                      1349.60               Mountain Frames                                    Components                                         2                    17                   NO
HL Mountain Frame - Black, 48                      1349.60               Mountain Frames                                    Components                                         3                    17                   NO
HL Mountain Frame - Black, 46                      1349.60               Mountain Frames                                    Components                                         4                    17                   NO
HL Mountain Frame - Black, 38                      1349.60               Mountain Frames                                    Components                                         5                    17                   NO
HL Touring Frame - Yellow, 46                      1003.91               Touring Frames                                     Components                                         1                    22                   NO
HL Touring Frame - Yellow, 50                      1003.91               Touring Frames                                     Components                                         2                    22                   NO
HL Touring Frame - Yellow, 54                      1003.91               Touring Frames                                     Components                                         3                    22                   NO
HL Touring Frame - Blue, 46                        1003.91               Touring Frames                                     Components                                         4                    22                   NO
HL Touring Frame - Blue, 50                        1003.91               Touring Frames                                     Components                                         5                    22                   NO
HL Touring Frame - Blue, 54                        1003.91               Touring Frames                                     Components                                         6                    22                   NO
HL Touring Frame - Blue, 60                        1003.91               Touring Frames                                     Components                                         7                    22                   NO
HL Touring Frame - Yellow, 60                      1003.91               Touring Frames                                     Components                                         8                    22                   NO
ML Road Frame-W - Yellow, 38                       594.83                Road Frames                                        Components                                         1                    30                   NO
ML Road Frame-W - Yellow, 40                       594.83                Road Frames                                        Components                                         2                    30                   NO
ML Road Frame-W - Yellow, 42                       594.83                Road Frames                                        Components                                         3                    30                   NO
ML Road Frame-W - Yellow, 44                       594.83                Road Frames                                        Components                                         4                    30                   NO
ML Road Frame-W - Yellow, 48                       594.83                Road Frames                                        Components                                         5                    30                   NO
ML Road Frame - Red, 44                            594.83                Road Frames                                        Components                                         6                    30                   NO
ML Road Frame - Red, 48                            594.83                Road Frames                                        Components                                         7                    30                   NO
ML Road Frame - Red, 52                            594.83                Road Frames                                        Components                                         8                    30                   NO
ML Road Frame - Red, 58                            594.83                Road Frames                                        Components                                         9                    30                   NO
ML Road Frame - Red, 60                            594.83                Road Frames                                        Components                                         10                   30                   NO
HL Crankset                                        404.99                Cranksets                                          Components                                         1                    40                   NO
ML Mountain Frame-W - Silver, 40                   364.09                Mountain Frames                                    Components                                         1                    41                   NO
ML Mountain Frame-W - Silver, 42                   364.09                Mountain Frames                                    Components                                         2                    41                   NO
ML Mountain Frame-W - Silver, 46                   364.09                Mountain Frames                                    Components                                         3                    41                   NO
ML Mountain Frame-W - Silver, 38                   364.09                Mountain Frames                                    Components                                         4                    41                   NO
HL Road Rear Wheel                                 357.06                Wheels                                             Components                                         1                    45                   NO
ML Mountain Frame - Black, 38                      348.76                Mountain Frames                                    Components                                         1                    46                   NO
ML Mountain Frame - Black, 40                      348.76                Mountain Frames                                    Components                                         2                    46                   NO
ML Mountain Frame - Black, 44                      348.76                Mountain Frames                                    Components                                         3                    46                   NO
ML Mountain Frame - Black, 48                      348.76                Mountain Frames                                    Components                                         4                    46                   NO
LL Road Frame - Black, 58                          337.22                Road Frames                                        Components                                         1                    50                   NO
LL Road Frame - Black, 60                          337.22                Road Frames                                        Components                                         2                    50                   NO
LL Road Frame - Black, 62                          337.22                Road Frames                                        Components                                         3                    50                   NO
LL Road Frame - Red, 44                            337.22                Road Frames                                        Components                                         4                    50                   NO
LL Road Frame - Red, 48                            337.22                Road Frames                                        Components                                         5                    50                   NO
LL Road Frame - Red, 52                            337.22                Road Frames                                        Components                                         6                    50                   NO
LL Road Frame - Red, 58                            337.22                Road Frames                                        Components                                         7                    50                   NO
LL Road Frame - Red, 60                            337.22                Road Frames                                        Components                                         8                    50                   NO
LL Road Frame - Red, 62                            337.22                Road Frames                                        Components                                         9                    50                   NO
LL Road Frame - Black, 44                          337.22                Road Frames                                        Components                                         10                   50                   NO
LL Road Frame - Black, 48                          337.22                Road Frames                                        Components                                         11                   50                   NO
LL Road Frame - Black, 52                          337.22                Road Frames                                        Components                                         12                   50                   NO
LL Touring Frame - Blue, 50                        333.42                Touring Frames                                     Components                                         1                    62                   NO
LL Touring Frame - Blue, 54                        333.42                Touring Frames                                     Components                                         2                    62                   NO
LL Touring Frame - Blue, 58                        333.42                Touring Frames                                     Components                                         3                    62                   NO
LL Touring Frame - Blue, 62                        333.42                Touring Frames                                     Components                                         4                    62                   NO
LL Touring Frame - Yellow, 44                      333.42                Touring Frames                                     Components                                         5                    62                   NO
LL Touring Frame - Yellow, 50                      333.42                Touring Frames                                     Components                                         6                    62                   NO
LL Touring Frame - Yellow, 54                      333.42                Touring Frames                                     Components                                         7                    62                   NO
LL Touring Frame - Yellow, 58                      333.42                Touring Frames                                     Components                                         8                    62                   NO
LL Touring Frame - Blue, 44                        333.42                Touring Frames                                     Components                                         9                    62                   NO
LL Touring Frame - Yellow, 62                      333.42                Touring Frames                                     Components                                         10                   62                   NO
HL Road Front Wheel                                330.06                Wheels                                             Components                                         1                    72                   NO
HL Mountain Rear Wheel                             327.215               Wheels                                             Components                                         1                    73                   NO
HL Mountain Front Wheel                            300.215               Wheels                                             Components                                         1                    74                   NO
ML Road Rear Wheel                                 275.385               Wheels                                             Components                                         1                    75                   NO
LL Mountain Frame - Silver, 40                     264.05                Mountain Frames                                    Components                                         1                    76                   NO
LL Mountain Frame - Silver, 42                     264.05                Mountain Frames                                    Components                                         2                    76                   NO
LL Mountain Frame - Silver, 44                     264.05                Mountain Frames                                    Components                                         3                    76                   NO
LL Mountain Frame - Silver, 48                     264.05                Mountain Frames                                    Components                                         4                    76                   NO
LL Mountain Frame - Silver, 52                     264.05                Mountain Frames                                    Components                                         5                    76                   NO
ML Crankset                                        256.49                Cranksets                                          Components                                         1                    81                   NO
LL Mountain Frame - Black, 40                      249.79                Mountain Frames                                    Components                                         1                    82                   NO
LL Mountain Frame - Black, 42                      249.79                Mountain Frames                                    Components                                         2                    82                   NO
LL Mountain Frame - Black, 44                      249.79                Mountain Frames                                    Components                                         3                    82                   NO
LL Mountain Frame - Black, 48                      249.79                Mountain Frames                                    Components                                         4                    82                   NO
LL Mountain Frame - Black, 52                      249.79                Mountain Frames                                    Components                                         5                    82                   NO
ML Road Front Wheel                                248.385               Wheels                                             Components                                         1                    87                   NO
Touring Rear Wheel                                 245.01                Wheels                                             Components                                         1                    88                   NO
ML Mountain Rear Wheel                             236.025               Wheels                                             Components                                         1                    89                   NO
HL Fork                                            229.49                Forks                                              Components                                         1                    90                   NO
Touring Front Wheel                                218.01                Wheels                                             Components                                         1                    91                   NO
ML Mountain Front Wheel                            209.025               Wheels                                             Components                                         1                    92                   NO
LL Crankset                                        175.49                Cranksets                                          Components                                         1                    93                   NO
ML Fork                                            175.49                Forks                                              Components                                         2                    93                   NO
LL Fork                                            148.22                Forks                                              Components                                         1                    95                   NO
HL Headset                                         124.73                Headsets                                           Components                                         1                    96                   NO
HL Bottom Bracket                                  121.49                Bottom Brackets                                    Components                                         1                    97                   NO
Rear Derailleur                                    121.46                Derailleurs                                        Components                                         1                    98                   NO
HL Mountain Handlebars                             120.27                Handlebars                                         Components                                         1                    99                   NO
HL Road Handlebars                                 120.27                Handlebars                                         Components                                         2                    99                   NO
LL Road Rear Wheel                                 112.565               Wheels                                             Components                                         1                    101                  NO
Front Brakes                                       106.50                Brakes                                             Components                                         1                    102                  NO
Rear Brakes                                        106.50                Brakes                                             Components                                         2                    102                  NO
ML Headset                                         102.29                Headsets                                           Components                                         1                    104                  NO
ML Bottom Bracket                                  101.24                Bottom Brackets                                    Components                                         1                    105                  NO
HL Touring Handlebars                              91.57                 Handlebars                                         Components                                         1                    106                  NO
Front Derailleur                                   91.49                 Derailleurs                                        Components                                         1                    107                  NO
LL Mountain Rear Wheel                             87.745                Wheels                                             Components                                         1                    108                  NO
LL Road Front Wheel                                85.565                Wheels                                             Components                                         1                    109                  NO
HL Mountain Pedal                                  80.99                 Pedals                                             Components                                         1                    110                  NO
HL Road Pedal                                      80.99                 Pedals                                             Components                                         2                    110                  NO
Touring Pedal                                      80.99                 Pedals                                             Components                                         3                    110                  NO
ML Road Pedal                                      62.09                 Pedals                                             Components                                         1                    113                  NO
ML Mountain Pedal                                  62.09                 Pedals                                             Components                                         2                    113                  NO
ML Road Handlebars                                 61.92                 Handlebars                                         Components                                         1                    115                  NO
ML Mountain Handlebars                             61.92                 Handlebars                                         Components                                         2                    115                  NO
LL Mountain Front Wheel                            60.745                Wheels                                             Components                                         1                    117                  NO
LL Bottom Bracket                                  53.99                 Bottom Brackets                                    Components                                         1                    118                  NO
HL Road Seat/Saddle                                52.64                 Saddles                                            Components                                         1                    119                  NO
HL Mountain Seat/Saddle                            52.64                 Saddles                                            Components                                         2                    119                  NO
HL Touring Seat/Saddle                             52.64                 Saddles                                            Components                                         3                    119                  NO
LL Touring Handlebars                              46.09                 Handlebars                                         Components                                         1                    122                  NO
LL Mountain Handlebars                             44.54                 Handlebars                                         Components                                         1                    123                  NO
LL Road Handlebars                                 44.54                 Handlebars                                         Components                                         2                    123                  NO
LL Mountain Pedal                                  40.49                 Pedals                                             Components                                         1                    125                  NO
LL Road Pedal                                      40.49                 Pedals                                             Components                                         2                    125                  NO
ML Road Seat/Saddle                                39.14                 Saddles                                            Components                                         1                    127                  NO
ML Touring Seat/Saddle                             39.14                 Saddles                                            Components                                         2                    127                  NO
ML Mountain Seat/Saddle                            39.14                 Saddles                                            Components                                         3                    127                  NO
LL Headset                                         34.20                 Headsets                                           Components                                         1                    130                  NO
LL Mountain Seat/Saddle                            27.12                 Saddles                                            Components                                         1                    131                  NO
LL Touring Seat/Saddle                             27.12                 Saddles                                            Components                                         2                    131                  NO
LL Road Seat/Saddle                                27.12                 Saddles                                            Components                                         3                    131                  NO
Chain                                              20.24                 Chains                                             Components                                         1                    134                  NO

(295 rows affected)


Completion time: 2022-09-12T17:11:04.8813750+05:30
